,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,50_MA,200_MA,50_SD,200_SD
Prev Close,1.0,0.999386836616275,0.9978680755187377,0.9975551802514098,0.9962434681004649,0.9963871589063568,0.9978899854076889,-0.22451533386099481,0.07794778774204869,-0.050978701076325184,0.002315560940470088,0.3511146704827629,0.9594314736267509,0.8556525638951803,0.1200984717185536,-0.006966116817899464
Open,0.999386836616275,1.0,0.9982082993960374,0.9980078745697722,0.9965433672675932,0.9966981144735407,0.9982261805716417,-0.22067489454785313,0.08221029199079324,-0.04610700624464247,0.004247469556111768,0.3485237275654547,0.9588621655784811,0.8553069205519646,0.1222746902789631,-0.005590560912389274
High,0.9978680755187377,0.9982082993960374,1.0,0.997267075261055,0.9984407875650151,0.9985571091621004,0.9992250567228739,-0.20307579053040012,0.0991228352700555,-0.025302210435778613,0.015939621987508423,0.3369399652961485,0.9592737431201108,0.8563864972992116,0.1311514699070071,0.002438498380385265
Low,0.9975551802514098,0.9980078745697722,0.997267075261055,1.0,0.9983021848457855,0.9983997230179961,0.9990866209109796,-0.2360417875217195,0.06708547882405239,-0.06743215972445275,-0.00892591468040693,0.3552120902571147,0.9558820526679346,0.8514735513122962,0.11286310821471389,-0.016330749056962603
Last,0.9962434681004649,0.9965433672675932,0.9984407875650151,0.9983021848457855,1.0,0.9999068971233162,0.9993374518843926,-0.21953245424163081,0.08262353099689436,-0.04695615532112462,0.001676739890256611,0.34474370594413445,0.9569345853371993,0.8531351010194217,0.12117253422106825,-0.008503167675427399
Close,0.9963871589063568,0.9966981144735407,0.9985571091621004,0.9983997230179961,0.9999068971233162,1.0,0.9994539247583601,-0.21899876396274867,0.08318273360608502,-0.04652447422372264,0.0023271982343655347,0.34476603903019143,0.9570672792700753,0.8535874230930061,0.12095719561871163,-0.00870642570189386
VWAP,0.9978899854076889,0.9982261805716417,0.9992250567228739,0.9990866209109796,0.9993374518843926,0.9994539247583601,1.0,-0.2196187148122385,0.0831647301432135,-0.046372810195560846,0.002670802703826397,0.3449300644921731,0.957846881226311,0.8540411620102722,0.12203610377571898,-0.006639842291278889
Volume,-0.22451533386099481,-0.22067489454785313,-0.20307579053040012,-0.2360417875217195,-0.21953245424163081,-0.21899876396274867,-0.2196187148122385,1.0,0.8908693464789054,0.875252810477767,0.808457253116455,-0.38652822466257464,-0.24079388046014205,-0.2475472079607107,0.2784194316733498,0.36904056908215443
Turnover,0.07794778774204869,0.08221029199079324,0.0991228352700555,0.06708547882405239,0.08262353099689436,0.08318273360608502,0.0831647301432135,0.8908693464789054,1.0,0.8473162702348402,0.8994195339852034,-0.2363102460690641,0.054960629469013325,0.01718584723192232,0.329296708329584,0.3529472060708805
Trades,-0.050978701076325184,-0.04610700624464247,-0.025302210435778613,-0.06743215972445275,-0.04695615532112462,-0.04652447422372264,-0.046372810195560846,0.875252810477767,0.8473162702348402,1.0,0.6825663375910822,-0.3559513170292313,-0.04679471025574789,-0.048711180840782915,0.4111154631543276,0.4468353760071792
Deliverable Volume,0.002315560940470088,0.004247469556111768,0.015939621987508423,-0.00892591468040693,0.001676739890256611,0.0023271982343655347,0.002670802703826397,0.808457253116455,0.8994195339852034,0.6825663375910822,1.0,-0.024507806479467913,-0.0015246528517078156,-0.0467609965085991,0.23046166974943494,0.2535839468681035
%Deliverble,0.3511146704827629,0.3485237275654547,0.3369399652961485,0.3552120902571147,0.34474370594413445,0.34476603903019143,0.3449300644921731,-0.38652822466257464,-0.2363102460690641,-0.3559513170292313,-0.024507806479467913,1.0,0.3690613087980704,0.31264620685219446,-0.23596175422581223,-0.37078322232843997
50_MA,0.9594314736267509,0.9588621655784811,0.9592737431201108,0.9558820526679346,0.9569345853371993,0.9570672792700753,0.957846881226311,-0.24079388046014205,0.054960629469013325,-0.04679471025574789,-0.0015246528517078156,0.3690613087980704,1.0,0.9162757801684699,0.14885141651789205,0.028409318656734784
200_MA,0.8556525638951803,0.8553069205519646,0.8563864972992116,0.8514735513122962,0.8531351010194217,0.8535874230930061,0.8540411620102722,-0.2475472079607107,0.01718584723192232,-0.048711180840782915,-0.0467609965085991,0.31264620685219446,0.9162757801684699,1.0,0.17111078858553563,0.10232433606508012
50_SD,0.1200984717185536,0.1222746902789631,0.1311514699070071,0.11286310821471389,0.12117253422106825,0.12095719561871163,0.12203610377571898,0.2784194316733498,0.329296708329584,0.4111154631543276,0.23046166974943494,-0.23596175422581223,0.14885141651789205,0.17111078858553563,1.0,0.5934732846283957
200_SD,-0.006966116817899464,-0.005590560912389274,0.002438498380385265,-0.016330749056962603,-0.008503167675427399,-0.00870642570189386,-0.006639842291278889,0.36904056908215443,0.3529472060708805,0.4468353760071792,0.2535839468681035,-0.37078322232843997,0.028409318656734784,0.10232433606508012,0.5934732846283957,1.0
